states,actions
"[-0.0, -3.141592653589793, 3.891211236661845e-11, 6.153636224015906e-08]",[15.0]
"[-0.021475731030398976, -3.138524692014022, -1.073786551488819, 0.15339812801765393]",[-0.0]
"[-0.04295146206079795, -3.132388768862479, -1.932815792711004, 0.4295146599912514]",[0.6073380199560916]
"[-0.04908738521234052, -3.126252845710937, -1.8530487917459317, 0.6504078855701293]",[0.6070500531661567]
"[-0.05522330836388308, -3.120116922559394, -1.7892351909738733, 0.8271224660332316]",[0.6070614876930648]
"[-0.06135923151542565, -3.113980999407852, -1.738184310356227, 0.9684941304037136]",[0.6070786389452952]
"[-0.0674951546669682, -3.107845076256309, -1.6973436058621096, 1.081591461900099]",[0.6071015062771137]
"[-0.07363107781851078, -3.1017091531047662, -1.664671042266816, 1.1720693270972076]",[0.6071300888275775]
"[-0.08283496254582462, -3.095573229953224, -1.7919310701791447, 1.2444516192548942]",[0.6071643855205701]
"[-0.08897088569736719, -3.089437306801681, -1.7403410137204443, 1.3023574529810438]",[0.6072043950648403]
"[-0.09510680884890975, -3.083301383650139, -1.6990689685534837, 1.3486821199619625]",[0.6072501159540512]
"[-0.10124273200045232, -3.077165460498596, -1.666051332419916, 1.385741853546699]",[0.6073015464668374]
"[-0.10737865515199488, -3.0710295373470538, -1.63963722351306, 1.415389640414487]",[0.607358684666869]
"[-0.11351457830353745, -3.064893614195511, -1.6185059363875762, 1.4391078699087179]",[0.6074215284029254]
"[-0.11965050145508001, -3.0587576910439687, -1.6016009066871888, 1.4580824535041024]",[0.607490075308975]
"[-0.12578642460662257, -3.052621767892426, -1.5880768829268792, 1.4732621203804102]",[0.6075643228042659]
"[-0.13192234775816514, -3.0464858447408836, -1.5772576639186324, 1.4854058538814567]",[0.6076442680934214]
"[-0.1380582709097077, -3.043417883165112, -1.568602288712035, 1.3417227618937293]",[0.607729908166547]
"[-0.14419419406125028, -3.0372819600135696, -1.561677988546756, 1.3801743670921125]",[0.6080685469088933]
"[-0.15033011721279282, -3.034213998437798, -1.5561385484145314, 1.2575375724622528]",[0.6078690388844253]
"[-0.1564660403643354, -3.031146036862027, -1.5517069963087549, 1.1594281367583674]",[0.6082119437142394]
"[-0.16260196351587797, -3.0250101137104846, -1.5481617546241324, 1.2343386669838212]",[0.6082625855034673]
"[-0.16873788666742054, -3.021942152134713, -1.5453255612764343, 1.1408690123756218]",[0.6080744463621878]
"[-0.17487380981896308, -3.018874190558942, -1.5430566065982747, 1.0660932886890615]",[0.6084230327602834]
"[-0.18100973297050565, -3.018874190558942, -1.5412414428557488, 0.8528746309512494]",[0.6084793541309426]
"[-0.18407769454627693, -3.0158062289831706, -1.3863912330731631, 0.8356977835495627]",[-0.0]
"[-0.1902136176978195, -3.012738267407399, -1.4159091440356608, 0.8219563056282162]",[0.6085370941050637]
"[-0.1932815792735908, -3.012738267407399, -1.2861253940170911, 0.6575650445025722]",[0.6085962521391761]
"[-0.19941750242513334, -3.009670305831628, -1.3356964727908007, 0.6794501143906215]",[-0.0]
"[-0.20248546400090464, -3.009670305831628, -1.2219552570212056, 0.5435600915124965]",[0.6086568276764619]
"[-0.2086213871524472, -3.009670305831628, -1.2843603631940947, 0.43484807320999685]",[-0.0]
"[-0.21168934872821848, -3.009670305831628, -1.1808863693438383, 0.3478784585679975]",[-0.0]
"[-0.21475731030398976, -3.012738267407399, -1.0981071742636335, 0.12490468806583532]",[-0.0]
"[-0.21782527187976106, -3.012738267407399, -1.0318838181994714, 0.09992375045266844]",[-0.6085962521391761]
"[-0.22089323345553233, -3.0158062289831706, -0.9789051333481424, -0.07345907842643129]",[-0.0]
"[-0.2239611950313036, -3.018874190558942, -0.9365221854670782, -0.21216534152970912]",[-0.6085370941050637]
"[-0.2270291566070749, -3.0250101137104846, -0.9026158271622258, -0.47652843080089635]",[-0.6084793541309426]
"[-0.2270291566070749, -3.0280780752862557, -0.7220926617297803, -0.5346208234292806]",[-0.6080744463621877]
"[-0.23009711818284617, -3.034213998437798, -0.7310722081723888, -0.7344928163205529]",[-0.6083146479364663]
"[-0.23009711818284617, -3.040349921589341, -0.58485776653791, -0.8943904106335703]",[-0.6079182595532228]
"[-0.23009711818284617, -3.0464858447408836, -0.46788621323032764, -1.0223084860839844]",[-0.6078212397993422]
"[-0.23009711818284617, -3.052621767892426, -0.3743089705842628, -1.1246429464443164]",[-0.607729908166547]
"[-0.23009711818284617, -3.06182565261974, -0.29944717646741026, -1.359908593521145]",[-0.6076442680934214]
