states,actions
"[-0.22089323345553233, -0.43565054375952217, 1.3695319845314877, 6.124452811265286]",[1.1162889753267038]
"[-0.21475731030398976, -0.4172427743048943, 1.4024217452023198, 5.8199507217436235]",[0.16541925806454394]
"[-0.2086213871524472, -0.3957670432744953, 1.428733553738983, 5.729747128914852]",[-0.8393188370483848]
"[-0.2055534255766759, -0.38042723539563905, 1.2963849217797527, 5.350788097074712]",[-0.6688977449619866]
"[-0.20248546400090464, -0.3650874275167828, 1.1905060162123657, 5.047620871602561]",[-0.0596027203516023]
"[-0.19634954084936207, -0.3497476196379261, 1.2592009705470204, 4.805087091224891]",[-0.36794963883886744]
"[-0.1932815792735908, -0.337475773334841, 1.160758855226181, 4.457661988134163]",[-1.2870864288555541]
"[-0.1932815792735908, -0.32520392703175593, 0.9286070841809444, 4.17972190566158]",[-1.8589116031280994]
"[-0.18714565612204823, -0.31293208072867085, 1.0496818249218833, 3.957369839683537]",[-1.8602523082906366]
"[-0.18407769454627693, -0.30066023442558576, 0.9931435387260716, 3.7794881869010624]",[-1.6805932518945834]
"[-0.18100973297050565, -0.29145634969827183, 0.9479129097694212, 3.48378478588657]",[-1.8497782029856236]
"[-0.17794177139473438, -0.27918450339518674, 0.9117284066041034, 3.400620143863506]",[-1.9819766401232215]
"[-0.17487380981896308, -0.2699806186678728, 0.8827808040718459, 3.180690351456491]",[-1.9172216883083024]
"[-0.1718058482431918, -0.2607767339405589, 0.8596227220460406, 3.00474651753089]",[-1.7765290389124013]
"[-0.16873788666742054, -0.25157284921324496, 0.841096256425395, 2.863991450390415]",[-1.9526679173030494]
"[-0.16566992509164924, -0.24236896448593148, 0.8262750839288806, 2.7513873966780125]",[-2.0973841470526855]
"[-0.1595340019401067, -0.23316507975861755, 0.9678162247202327, 2.6613041537081017]",[-1.9793741403409726]
"[-0.1564660403643354, -0.22396119503130363, 0.9276510585647513, 2.58923755933219]",[-1.8402891186348365]
"[-0.15033011721279282, -0.2147573103039897, 1.0489170044289304, 2.5315842838314495]",[-1.7023829294912192]
"[-0.14419419406125028, -0.20555342557667577, 1.1459297611202706, 2.4854616634308684]",[-1.5497742172838809]
"[-0.1380582709097077, -0.1963495408493623, 1.2235399664733455, 2.4485635671103694]",[-1.5049514849954821]
"[-0.13192234775816514, -0.19021361769781953, 1.2856281307558044, 2.265647011265429]",[-1.7490926977795027]
"[-0.12578642460662257, -0.1810097329705056, 1.3352986621817724, 2.272711845378012]",[-2.0632887273165172]
"[-0.11965050145508001, -0.17180584824319167, 1.375035087322547, 2.278363712668124]",[-1.9486837576249894]
"[-0.11351457830353745, -0.16566992509164935, 1.4068242274351652, 2.1294871277115988]",[-1.398923405586049]
"[-0.10737865515199488, -0.15646604036433542, 1.4322555395252614, 2.163783938535005]",[-1.0812374240223646]
"[-0.10124273200045232, -0.1472621556370215, 1.4526005891973366, 2.1912213871936785]",[-0.9328134014821678]
"[-0.09510680884890975, -0.14112623248547917, 1.4688766289349973, 2.059773267332048]",[-0.5853565060644854]
"[-0.0859029241215959, -0.13192234775816525, 1.6352955395136908, 2.1080128502313755]",[-0.4857851288193391]
"[-0.07976700097005335, -0.12578642460662248, 1.6150325891880808, 1.9932064377622396]",[-0.9328141156109826]
"[-0.07056311624273949, -0.11965050145508016, 1.7522203077161578, 1.9013613077868854]",[-1.3727528649481604]
"[-0.06442719309119693, -0.1135145783035374, 1.7085724037500531, 1.8278852038066589]",[-1.739553827562589]
"[-0.05829126993965436, -0.10737865515199507, 1.6736540805771711, 1.7691043206224322]",[-1.758467224376445]
"[-0.04908738521234052, -0.1012427320004523, 1.7991175008274287, 1.722079614075085]",[-1.3823813843970862]
"[-0.04295146206079795, -0.09510680884890954, 1.7460901582390718, 1.6844598488372071]",[-1.1345608758414283]
"[-0.0337475773334841, -0.08590292412159606, 1.85706636295695, 1.8077621154354517]",[-0.7911158336128894]
"[-0.02761165418194154, -0.07976700097005329, 1.7924492479426877, 1.7530058499255006]",[-0.12080255129214557]
"[-0.018407769454627694, -0.07363107781851097, 1.8941536347198427, 1.7092008375174998]",[0.31874612677844816]
"[-0.01227184630308513, -0.0674951546669682, 1.822119065353002, 1.6741568275911334]",[0.002069863648152648]
"[-0.0030679615757712823, -0.06135923151542544, 1.9178894886480944, 1.6461216196500459]",[-0.41860827310073656]
"[0.0030679615757712823, -0.05522330836388312, 1.8411077484956035, 1.6236934532971645]",[-0.3455573697604102]
"[0.01227184630308513, -0.052155346788111956, 1.933080435162175, 1.4523528414262898]",[-0.3393234152276925]
"[0.018407769454627694, -0.04601942363656919, 1.8532605057068683, 1.468678430718171]",[-0.6305015398997424]
"[0.02761165418194154, -0.03988350048502687, 1.9428026409311867, 1.481738902151676]",[-0.7024193269524321]
"[0.0337475773334841, -0.03681553890925526, 1.8610382703220776, 1.3387892005098934]",[-0.3332687389027913]
"[0.039883500485026674, -0.03067961575771294, 1.7956267738347906, 1.3778275179850255]",[-0.013017470765454231]
