states,actions
"[0.04908738521234052, 0.3313398501832987, -3.405771577185726, -11.744786459755971]",[-17.596555157872828]
"[0.0337475773334841, 0.28532042654672907, -3.4916076556914017, -11.696800349633264]",[-18.719075524088503]
"[0.021475731030398976, 0.23930100291015988, -3.406878439707377, -11.658411461535053]",[-20.10961139006261]
"[0.018407769454627694, 0.2024854640009046, -2.8789008305544663, -11.167506114690838]",[-21.904921878633534]
"[0.018407769454627694, 0.17180584824319167, -2.303120664443573, -10.467985679638304]",[-22.495935261898733]
"[0.021475731030398976, 0.1472621556370215, -1.689098452766294, -9.601573174019137]",[-20.536879072717806]
"[0.030679615757712823, 0.13192234775816525, -0.891084525847343, -8.44824893315814]",[-16.815879335416735]
"[0.04295146206079795, 0.11965050145508016, -0.0992753055236184, -7.372191461680757]",[-13.087576018473005]
"[0.06442719309119693, 0.11658253987930856, 0.9943663071010547, -6.051151248133181]",[-10.063563971308433]
"[0.09203884727313846, 0.11965050145508016, 2.1760757547779206, -4.6875229197179635]",[-7.641266380367145]
"[0.1227184630308513, 0.12885438618239364, 3.2748413917079775, -3.2898240994086905]",[-4.946251037865977]
"[0.1595340019401067, 0.14112623248547917, 4.460650058829152, -2.0182669643726854]",[-1.9613837452370335]
"[0.19634954084936207, 0.15953400194010658, 5.409296992526091, -0.6942250987667933]",[0.9293396579525535]
"[0.23623304133438874, 0.17794177139473444, 6.321612618272206, 0.36500839371794314]",[3.4360699037628937]
"[0.2761165418194154, 0.19941750242513345, 7.051465118869099, 1.365793266494336]",[5.62462259859327]
"[0.31600004230444206, 0.21782527187976086, 7.63534711934661, 2.013023085926818]",[6.91443828480411]
"[0.3528155812136975, 0.23623304133438872, 7.94905464094006, 2.5308069414728607]",[7.33645382864752]
"[0.3865631585471816, 0.25464081078901657, 8.046622579426254, 2.9450340259096777]",[7.5681478031586895]
"[0.4203107358806657, 0.2699806186678728, 8.124676930215209, 3.1230176146705446]",[8.1319441863812]
"[0.4479223900626072, 0.2822524649709579, 7.880324253269244, 3.1120064068906856]",[8.436944641584148]
"[0.4724660826687775, 0.294524311274043, 7.531444032923908, 3.103197440666804]",[8.224922216018953]
"[0.4970097752749477, 0.3037281960013569, 7.252339856647637, 2.942752188899135]",[8.043867403578997]
"[0.5154175447295755, 0.3098641191528997, 6.7222603580495, 2.66099790869643]",[7.8390199058409715]
"[0.5338253141842031, 0.31293208072867085, 6.2981967591709775, 2.282196405745708]",[7.019796426271063]
"[0.5491651220630596, 0.316000042304442, 5.805547801279605, 1.979155203385119]",[5.896574374372063]
"[0.5645049299419159, 0.316000042304442, 5.411428634966505, 1.5833241627080952]",[4.936977879408194]
"[0.5737088146692298, 0.316000042304442, 4.7893371443389015, 1.2666593301664761]",[4.483274203689291]
"[0.5859806609723149, 0.31293208072867085, 4.4450620306253725, 0.8599293853446568]",[4.179516422823899]
"[0.5921165841238575, 0.3098641191528997, 3.862845782077425, 0.5345454294871388]",[3.7419440530589867]
"[0.5982525072754, 0.3067961575771281, 3.3970727832390644, 0.27423826480114144]",[3.362089763886511]
"[0.6043884304269426, 0.30066023442558576, 3.024454384168383, -0.08740554573617487]",[3.218450526241713]
"[0.607456392002714, 0.2975922728498146, 2.5729615861232773, -0.2233225153775038]",[3.12605433070677]
"[0.6105243535784852, 0.29145634969827183, 2.211767347687182, -0.4854541698791479]",[2.980449884860406]
"[0.6135923151542565, 0.28532042654672907, 1.9228119569383075, -0.6951594934804746]",[2.9107544496951308]
"[0.6135923151542565, 0.27918450339518674, 1.5382495655506467, -0.8629237523614961]",[2.5253457395297865]
"[0.6135923151542565, 0.273048580243644, 1.2305996524405174, -0.9971351594663247]",[2.2664090227860028]
"[0.6135923151542565, 0.2638446955163305, 0.9844797219524182, -1.25790236393874]",[2.1163818151350684]
"[0.6105243535784852, 0.25770877236478773, 0.6341856987733685, -1.3131180487281426]",[1.789715985904861]
"[0.6105243535784852, 0.25157284921324496, 0.5073485590186912, -1.3572905965596362]",[1.6615264007976274]
"[0.607456392002714, 0.24236896448593148, 0.2524807684263912, -1.5460267136134007]",[1.80719292961329]
"[0.6043884304269426, 0.23623304133438872, 0.048586535952541254, -1.5436175284678768]",[1.7093428383274532]
"[0.6013204688511713, 0.2300971181828464, -0.11452885002653446, -1.5416901803513952]",[1.6086497064741492]
"[0.5982525072754, 0.22089323345553247, -0.24502115880979147, -1.6935463806468078]",[1.6846316071169145]
"[0.5951845456996288, 0.2147573103039897, -0.34941500583639495, -1.6616332620945684]",[1.4379689697952696]
"[0.5890486225480862, 0.20862138715244738, -0.5863281622462466, -1.636102767252794]",[1.1771325231279661]
"[0.5859806609723149, 0.19941750242513345, -0.6224606085855591, -1.7690764501679155]",[1.3279925184507224]
"[0.5798447378207724, 0.1932815792735907, -0.8047646444455765, -1.7220573177114886]",[1.3101562958065278]
"[0.5737088146692298, 0.18714565612204836, -0.9506078731335847, -1.6844420117462846]",[1.135117571514689]
"[0.5675728915176872, 0.1810097329705056, -1.0672824560840013, -1.6543497669741782]",[1.5906216081313236]
"[0.5614369683661447, 0.17180584824319167, -1.1606221224443267, -1.7836740499450343]",[1.782845117131978]
"[0.5583690067903734, 0.16566992509164935, -1.0818957767440303, -1.7337353975331382]",[1.019452940601182]
"[0.5491651220630596, 0.15953400194010658, -1.3257108577609138, -1.6937844756036498]",[0.2275678909701151]
"[0.543029198911517, 0.15339807878856426, -1.3673648437858539, -1.6618237380600362]",[0.6343163276578236]
"[0.5368932757599744, 0.1472621556370215, -1.4006880326058173, -1.6362551480251568]",[1.4692026177116917]
"[0.5276893910326605, 0.14112623248547917, -1.5807446624503427, -1.6158002759972305]",[1.591593076088639]
"[0.521553467881118, 0.1349903093339364, -1.571391887537402, -1.599436378374918]",[1.2895954215444645]
"[0.5154175447295755, 0.12885438618239364, -1.5639096676070459, -1.586345260277085]",[0.9625625684561836]
"[0.5062136600022615, 0.12271846303085132, -1.711321970451337, -1.575872365798773]",[0.6509960372937522]
"[0.4970097752749477, 0.1135145783035374, -1.8292518127267599, -1.7208921290047101]",[0.33668356114869535]
"[0.4908738521234052, 0.10737865515199507, -1.7701976077585364, -1.6835098607808732]",[-0.055546595480139516]
"[0.4816699673960913, 0.1012427320004523, -1.8763523225725223, -1.653604046201849]",[-0.46461796196417904]
"[0.4724660826687775, 0.09510680884890954, -1.961276094423706, -1.6296793945386128]",[-0.2370163941942396]
"[0.4663301595172349, 0.09203884727313838, -1.8758170331160962, -1.4571415944194541]",[0.5691802892627367]
"[0.45712627478992107, 0.08590292412159606, -1.9608478628585715, -1.4725094331126911]",[1.0601010489630376]
"[0.4479223900626072, 0.07976700097005329, -2.0288725266525454, -1.4848037040673034]",[0.912090161391296]
"[0.44178646691106466, 0.07669903939428213, -1.9298941788991648, -1.341241042042384]",[0.49543312647440185]
"[0.4325825821837508, 0.07056311624273937, -2.004109579485025, -1.3797889912110293]",[0.2602457864928094]
"[0.42337869745643697, 0.0674951546669682, -2.063481899953711, -1.2572292717573816]",[0.5223786804975386]
"[0.4172427743048944, 0.06135923151542544, -1.9575816775400945, -1.3125795749830615]",[0.6430978041009383]
"[0.40803888957758055, 0.05829126993965428, -2.02625957839777, -1.2034617387750188]",[0.4854531481363993]
"[0.3988350048502667, 0.052155346788111956, -2.081201899083908, -1.2695655485971145]",[0.14298470852491807]
"[0.38963112012295287, 0.04908738521234035, -2.125155755632818, -1.1690505176662782]",[0.25136621190444774]
"[0.38349519697141027, 0.04295146206079803, -2.0069207620833858, -1.2420365717101447]",[0.22899818779057757]
